C,J,cost,P_J_given_C,P_C_given_C,rank_J_nonC,rho,total_terms,P_none
chair,office chair,1237268,0.018471,0.587173,5,0.391778,178329,0.023591
shelf,bookshelf,810674,0.041609,0.237767,2,0.202245,48211,0.174566
cabinet,kitchen cabinet,624692,0.005686,0.128450,22,0.226317,45901,0.225856
window,blinds,561323,0.087771,0.427467,1,0.187924,36094,0.123345
door,window,451372,0.024125,0.586021,2,0.309488,37555,0.114525
table,desk,373151,0.085879,0.423886,2,0.300782,88939,0.073455
book,bookshelf,352139,0.064647,0.433285,2,0.291355,39646,0.083993
desk,dresser,266085,0.020756,0.198514,8,0.435069,75254,0.117402
trash can,trash bin,254491,0.056428,0.340603,3,0.180118,15223,0.084675
mailbox,bookshelf,217967,0.056519,0.000000,5,0.067530,1557,0.265254
curtain,window,205013,0.228909,0.290238,1,0.314920,17496,0.157636
bookshelf,shelf,204247,0.290237,0.095656,1,0.298822,37018,0.151872
clothes dryer,oven,190001,0.016438,0.000913,11,0.153953,1095,0.337900
whiteboard,board,183777,0.067098,0.232353,2,0.397790,6021,0.067265
doorframe,door,175002,0.394415,0.001939,1,0.174203,5157,0.130502
armchair,sofa chair,151202,0.007152,0.004479,12,0.286863,13843,0.035903
pillow,bed,137850,0.247619,0.433458,1,0.439872,17951,0.061334
box,crate,133254,0.007499,0.375104,15,0.223362,12002,0.136394
bed,mattress,127571,0.048524,0.482292,3,0.352692,40660,0.103960
object,bicycle,125030,0.000132,0.004607,142,0.247243,15195,0.136821
picture,poster,122695,0.038246,0.284896,2,0.225935,8210,0.097442
couch,bench,113702,0.009003,0.520271,12,0.369979,37986,0.064813
blinds,closet wall,107859,0.000000,0.111307,94,0.117948,566,0.208481
copier,printer,95293,0.207547,0.000273,1,0.312590,3657,0.200164
radiator,vent,92965,0.139256,0.059021,2,0.246482,4761,0.171813
