idx,class,is_fg,gt_count,pred_count,tp,fp,fn,iou,recall,precision,cost
0,wall,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
1,chair,1,2491617,1314846,1254352,60494,1237265,0.4915,0.5034,0.9540,1237265
2,floor,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
3,table,1,1224698,1070620,851547,219073,373151,0.5898,0.6953,0.7954,373151
4,door,1,1291634,1139657,840261,299396,451373,0.5281,0.6505,0.7373,451372
5,couch,1,789769,774737,676067,98670,113702,0.7610,0.8560,0.8726,113702
6,cabinet,1,758107,207686,133415,74271,624692,0.1603,0.1760,0.6424,624692
7,shelf,1,1169879,626609,359204,267405,810675,0.2499,0.3070,0.5733,810674
8,desk,1,655163,637674,389076,248598,266087,0.4305,0.5939,0.6101,266087
9,office chair,1,285717,978827,247828,730999,37889,0.2438,0.8674,0.2532,37888
10,bed,1,841283,854700,713713,140987,127570,0.7266,0.8484,0.8350,127570
11,pillow,1,153508,25721,15658,10063,137850,0.0957,0.1020,0.6088,137850
12,sink,1,102489,110335,76369,33966,26120,0.5597,0.7451,0.6922,26120
13,picture,1,184537,82559,61841,20718,122696,0.3013,0.3351,0.7491,122695
14,window,1,1385131,1096729,823809,272920,561322,0.4969,0.5948,0.7512,561321
15,toilet,1,112313,121049,106660,14389,5653,0.8418,0.9497,0.8811,5652
16,bookshelf,1,1125319,1808296,921070,887226,204249,0.4577,0.8185,0.5094,204248
17,monitor,1,227788,227899,198888,29011,28900,0.7745,0.8731,0.8727,28899
18,curtain,1,657363,523346,452350,70996,205013,0.6211,0.6881,0.8643,205013
19,book,1,352186,77,47,30,352139,0.0001,0.0001,0.6104,352139
20,armchair,1,320557,281916,169355,112561,151202,0.3910,0.5283,0.6007,151202
21,coffee table,1,158142,148139,90769,57370,67373,0.4212,0.5740,0.6127,67373
22,box,1,178867,82276,45613,36663,133254,0.2116,0.2550,0.5544,133254
23,refrigerator,1,175596,229689,134179,95510,41417,0.4949,0.7641,0.5842,41417
24,lamp,1,73853,78683,56741,21942,17112,0.5923,0.7683,0.7211,17112
25,kitchen cabinet,1,448065,513512,389098,124414,58967,0.6797,0.8684,0.7577,58966
26,towel,1,68433,61523,39644,21879,28789,0.4390,0.5793,0.6444,28789
27,clothes,1,70058,79187,16759,62428,53299,0.1265,0.2392,0.2116,53298
28,tv,1,144936,152664,128632,24032,16304,0.7613,0.8875,0.8426,16303
29,nightstand,1,72312,77528,56910,20618,15402,0.6124,0.7870,0.7341,15402
30,counter,1,83805,133505,36829,96676,46976,0.2041,0.4395,0.2759,46976
31,dresser,1,121397,205281,80833,124448,40564,0.3288,0.6659,0.3938,40563
