epoch,train_loss_epoch,val_loss,val_miou_present_gt,val_head,val_common,val_tail,val_dead_classes
0,4.832,4.612,0.02480,0.04910,0.01830,0.00740,89
1,4.013,3.844,0.04220,0.08740,0.03210,0.01460,76
2,3.564,3.451,0.06080,0.12340,0.05180,0.02580,64
3,3.218,3.122,0.07910,0.15620,0.07040,0.03420,53
4,2.957,2.864,0.09340,0.17830,0.08910,0.04180,45
5,2.788,2.671,0.10620,0.19430,0.10320,0.04930,39
6,2.643,2.518,0.11420,0.20310,0.11180,0.05460,36
7,2.521,2.395,0.12170,0.21040,0.11840,0.06180,34
8,2.413,2.291,0.12730,0.21620,0.12420,0.06510,32
9,2.302,2.188,0.13070,0.21840,0.12940,0.06740,31
10,2.198,2.094,0.13410,0.22180,0.13420,0.06920,30
11,2.119,2.021,0.13790,0.22510,0.13800,0.07170,29
12,2.041,1.948,0.14180,0.22840,0.14180,0.07420,28
13,1.977,1.885,0.14550,0.23120,0.14500,0.07670,28
14,1.913,1.821,0.14920,0.23410,0.14830,0.07920,27
15,1.857,1.767,0.15380,0.23870,0.15220,0.08270,26
16,1.802,1.713,0.15840,0.24320,0.15620,0.08620,25
17,1.755,1.668,0.16270,0.24620,0.16020,0.08900,24
18,1.708,1.623,0.16710,0.24920,0.16420,0.09180,22
19,1.675,1.592,0.16950,0.25120,0.16730,0.09390,22
20,1.642,1.561,0.17180,0.25330,0.17040,0.09610,21
21,1.605,1.524,0.17430,0.25530,0.17230,0.09880,20
22,1.568,1.488,0.17670,0.25720,0.17430,0.10140,20
23,1.531,1.451,0.17920,0.25920,0.17620,0.10410,19
24,1.506,1.426,0.18170,0.26160,0.17870,0.10720,18
25,1.481,1.402,0.18420,0.26410,0.18120,0.11040,17
26,1.455,1.377,0.18580,0.26550,0.18250,0.11230,16
27,1.430,1.353,0.18750,0.26700,0.18380,0.11430,16
28,1.404,1.328,0.18910,0.26840,0.18510,0.11620,15
29,1.381,1.305,0.19110,0.27010,0.18620,0.11900,14
30,1.358,1.282,0.19310,0.27180,0.18740,0.12180,14
31,1.336,1.261,0.19450,0.27290,0.18840,0.12400,14
32,1.314,1.241,0.19600,0.27400,0.18940,0.12610,13
33,1.292,1.220,0.19740,0.27510,0.19040,0.12830,13
34,1.268,1.197,0.19940,0.27660,0.19180,0.13120,12
35,1.243,1.174,0.20140,0.27810,0.19320,0.13410,12
36,1.223,1.155,0.20260,0.27890,0.19420,0.13590,12
37,1.202,1.137,0.20390,0.27960,0.19510,0.13760,11
38,1.182,1.118,0.20510,0.28040,0.19610,0.13940,11
39,1.162,1.100,0.20650,0.28140,0.19720,0.14130,10
40,1.142,1.082,0.20780,0.28240,0.19830,0.14320,10
41,1.125,1.066,0.20870,0.28300,0.19890,0.14480,10
42,1.109,1.050,0.20950,0.28360,0.19950,0.14650,9
43,1.092,1.034,0.21040,0.28420,0.20010,0.14810,9
44,1.075,1.018,0.21160,0.28520,0.20080,0.15000,8
45,1.058,1.001,0.21270,0.28620,0.20140,0.15180,8
46,1.043,0.986,0.21350,0.28670,0.20170,0.15330,8
47,1.027,0.972,0.21430,0.28730,0.20210,0.15470,7
48,1.012,0.957,0.21510,0.28780,0.20240,0.15620,7
